ID;Sex;Status;Children;Est_Income;Car_Owner;Usage;Age;RatePlan;LongDistance;International;Local;Dropped;Paymethod;LocalBilltype;LongDistanceBilltype
10090;M;S;0;64136.6;Y;142.37;61.106667;2;16.21;1;125.15;0;CC;FreeLocal;Intnl_discount
10092;F;M;2;45429.7;Y;97.74;61.713333;2;24.7;0;73.04;0;CH;FreeLocal;Standard
10094;F;S;0;25285.5;N;21.3;53.986667;1;9.37;0;11.93;0;CC;FreeLocal;Standard
10095;F;M;2;77551.1;Y;62.42;33.6;2;20.53;0;41.89;1;CC;Budget;Intnl_discount
10096;F;M;0;38538.4;N;47.66;12.326667;3;22.86;8.32;16.48;0;CC;FreeLocal;Standard
10097;F;S;0;69350.5;Y;27.86;57.42;4;1.9;0;25.95;0;CC;FreeLocal;Standard
10104;M;S;2;43634.5;N;143.5;21.78;1;29.44;9.42;104.64;0;CC;Budget;Standard
10108;F;S;1;13109.1;N;62.87;62.606667;1;22.38;0;40.48;0;Auto;Budget;Standard
10109;M;S;1;92647.5;N;32.13;56.046667;4;16.04;5.74;10.34;0;CC;Budget;Standard
10110;F;S;2;21021.6;Y;14.95;62.753333;3;1;0;11.19;0;CC;Budget;Standard
10111;M;S;0;74460.7;Y;206.46;55.34;2;25.53;0.99;179.93;0;CC;FreeLocal;Standard
10114;F;S;2;28787.4;N;86.06;41.666667;2;27.97;0;58.09;0;Auto;Budget;Standard
10117;M;M;1;13091.6;N;43.06;59.126667;2;22.79;0;20.26;0;CC;Budget;Intnl_discount
10121;F;M;1;20550.9;Y;85.64;22.12;3;27.72;0.86;57.06;0;CC;Budget;Standard
10127;F;S;2;19131.1;N;57.07;56.186667;2;22.15;0;34.91;0;Auto;Budget;Standard
10130;F;S;2;83073.7;N;3.2;39.553333;4;0;0;3.2;0;CC;Budget;Standard
10133;M;M;2;42750.3;Y;134.97;50.493333;1;20.59;1.97;112.4;0;Auto;Budget;Intnl_discount
10135;F;S;2;2842.55;N;0.79;45.92;2;0;0;0.79;0;Auto;Budget;Intnl_discount
10136;M;M;2;22358.1;N;29.25;52.626667;1;15.54;1.52;12.19;0;CC;Budget;Standard
10138;M;M;0;47870.8;Y;13.82;27.26;2;2;1.17;12.48;0;CC;FreeLocal;Standard
10139;F;S;2;6440.46;Y;49.86;52.646667;1;22.66;0;27.2;0;CH;Budget;Standard
10140;F;S;0;7325.5;N;190.06;36.92;2;28.52;0;161.54;0;CC;FreeLocal;Intnl_discount
10142;M;M;2;28766.9;N;64.2;46.84;1;6.11;0;58.08;0;CC;Budget;Standard
10148;M;M;2;91272.2;Y;40;25.033333;3;26.99;0;13.01;0;CC;FreeLocal;Standard
10154;M;S;0;65000;Y;137;45.653333;4;11.63;9.7;115.66;1;Auto;FreeLocal;Intnl_discount
10158;M;M;2;1406.05;Y;26.72;19.306667;1;11.55;0;15.17;0;CC;Budget;Standard
10160;F;S;0;73228.3;N;50.58;62;4;22.47;0;28.11;0;Auto;Budget;Standard
10166;M;M;1;64792.3;N;51.41;52.146667;3;13.05;1.51;36.84;0;CH;FreeLocal;Standard
10169;F;S;0;93322.1;Y;38.72;40.313333;1;29.92;0;8.79;0;CH;Budget;Intnl_discount
10174;M;M;1;63437.3;N;14.98;63.653333;4;0.68;3.35;10.94;0;CC;Budget;Intnl_discount
10180;M;M;0;76161.4;Y;37.55;44.573333;4;11.96;0;25.58;0;CC;FreeLocal;Standard
10181;F;M;2;55860;Y;26.37;14.573333;3;16.01;0;10.35;0;CC;FreeLocal;Intnl_discount
10190;M;M;2;57360.8;Y;67.61;53.253333;1;10.36;0;57.25;0;CC;FreeLocal;Standard
10191;M;M;0;92414.7;Y;40.06;45.513333;4;29.43;0;10.62;0;CC;FreeLocal;Standard
10194;F;M;2;17888.7;N;361.88;55;1;29.41;0;332.46;0;CC;Budget;Standard
10195;F;S;1;12526.3;N;40.59;53.553333;2;11.72;0;28.86;0;CC;FreeLocal;Intnl_discount
10198;F;S;2;14578.8;Y;107.02;60.933333;1;11.91;0;95.1;0;Auto;Budget;Standard
10206;F;M;2;87578.2;Y;22.44;53.366667;1;0.29;0;22.15;0;CC;Budget;Standard
10207;F;M;2;86695.4;N;58.03;13.906667;2;25.94;0;32.09;0;CC;FreeLocal;Standard
10209;F;S;2;76791.2;N;43.71;61;4;20.71;0;23;0;CC;Budget;Intnl_discount
10218;F;M;0;83287;N;119.82;45.486667;3;29.64;0;90.18;4;Auto;FreeLocal;Intnl_discount
10219;M;S;0;2056.06;Y;58.8;18.94;2;24.07;6.98;27.75;0;Auto;Budget;Standard
10220;F;M;2;7776.6;N;94.2;35.706667;4;25.87;0;68.33;0;CC;FreeLocal;Standard
10221;M;M;1;2067.82;N;85.9;47.853333;4;15.25;0;70.65;0;CC;Budget;Intnl_discount
10224;F;M;2;69343.3;N;21.91;42.166667;2;6.36;0;15.54;0;CC;FreeLocal;Standard
10225;F;M;0;77000;N;24.46;55;4;0.57;0;23.89;2;Auto;Budget;Standard
10228;F;M;0;14932.5;N;11.42;52;1;4.91;0;6.5;0;CC;Budget;Intnl_discount
10229;F;S;0;27498.1;N;12.08;42;4;2.2;0;9.88;0;CC;Budget;Intnl_discount
10233;F;M;1;66000;Y;37.04;63.353333;2;6.08;0;30.95;0;Auto;FreeLocal;Intnl_discount
10234;F;M;2;50561.3;N;129.91;52;2;16.6;0;113.31;1;CH;Budget;Standard
10236;F;S;2;23464;Y;64.14;70;3;22.43;0;41.71;0;CC;Budget;Intnl_discount
10237;F;M;2;194.57;N;67.21;42;4;28.26;0;38.95;0;CC;FreeLocal;Standard
10238;F;M;1;98680.4;Y;26.44;55;4;17.58;0;8.85;0;CH;FreeLocal;Intnl_discount
10239;M;M;1;65619.7;Y;158.22;46;3;13.56;0;144.66;0;CC;Budget;Standard
10240;F;M;1;95620.3;Y;104.53;52;2;10.91;0;93.61;0;CC;Budget;Standard
10241;F;S;0;85275;N;174.09;47;2;22.48;0;151.61;0;Auto;FreeLocal;Intnl_discount
10242;F;M;1;66921.4;Y;24.67;43;3;15.7;0;8.97;0;CC;FreeLocal;Intnl_discount
10244;F;M;2;94026.8;Y;35.63;27.746667;3;25;0;10.62;0;CC;FreeLocal;Intnl_discount
10246;F;S;2;57420;Y;277.72;61;2;25.18;0;252.53;1;Auto;Budget;Standard
10247;M;M;0;77000;N;34.35;44;4;3.93;3.73;26.69;1;CH;FreeLocal;Standard
10249;M;M;2;47639.1;N;57.11;48;4;17.48;0;39.62;0;CC;Budget;Intnl_discount
10250;F;M;2;63234.5;Y;1.16;52.36;3;0;0;1.16;0;CH;FreeLocal;Intnl_discount
10254;F;M;2;18296.4;Y;10.47;42.626667;3;0.08;0;10.39;0;CC;FreeLocal;Standard
10255;F;S;0;39461;N;126.68;22.226667;4;22.87;0.28;103.52;1;CC;FreeLocal;Standard
10257;F;S;1;68000;N;86.12;60;3;22.82;0;63.29;0;Auto;FreeLocal;Standard
10260;F;M;2;52957;Y;151.32;39.746667;2;25.79;0;125.52;2;CH;FreeLocal;Standard
10261;F;S;2;86747.1;N;57.4;64.853333;3;20.15;0;37.24;0;Auto;Budget;Standard
10263;F;M;1;87404.6;N;160.84;63.186667;3;21.63;0;139.2;0;Auto;Budget;Standard
10264;M;S;2;20919;N;164.54;27.886667;2;6.26;4.92;153.36;0;CC;FreeLocal;Intnl_discount
10265;F;M;2;85394;Y;35.69;20.16;4;19.28;2.02;14.38;1;Auto;Budget;Intnl_discount
10266;F;S;0;2121.36;N;38.8;39.786667;3;2.02;0;36.78;1;CC;FreeLocal;Standard
10267;F;M;2;63566.1;Y;73.03;56.3;2;7.94;0;65.09;0;CH;Budget;Intnl_discount
10271;F;M;2;25738.4;N;48.67;50.08;1;19.88;9.57;19.2;0;CH;Budget;Standard
10276;F;M;2;60485.5;N;40.41;41.666667;1;11.7;0;28.7;0;Auto;Budget;Intnl_discount
10281;F;M;2;34577.7;N;145.75;63.253333;2;29.18;0;116.57;3;CH;Budget;Standard
10285;F;M;0;98056.3;N;150.67;55.966667;3;23.7;0;126.96;0;Auto;FreeLocal;Standard
10286;M;M;0;73400;Y;2.21;64.226667;4;0;0;2.21;0;CH;Budget;Standard
10288;M;M;0;78894.2;N;46.65;28;2;2;1.41;43.23;0;CH;Budget;Intnl_discount
10289;M;S;1;16432.1;Y;109.78;20.92;1;20.41;8.89;80.47;0;CH;Budget;Intnl_discount
10290;M;M;0;62797.9;N;68.09;54.446667;1;8.32;4.28;55.48;0;CH;Budget;Intnl_discount
10291;M;S;1;71329.9;Y;63.75;42.233333;3;14.27;3.55;45.92;0;CC;Budget;Standard
10298;F;S;1;540.4;Y;20.1;39.213333;4;12.34;0;7.75;0;Auto;Budget;Intnl_discount
10304;M;M;1;75799.9;N;94.06;46.38;3;22.24;7.02;64.8;0;CC;FreeLocal;Intnl_discount
10305;F;S;2;15688.5;N;22.42;53.06;4;14.39;0;8.03;0;CC;Budget;Standard
10306;F;S;0;43382.3;N;138.37;16.073333;2;29.67;8.76;99.94;0;CH;FreeLocal;Standard
10309;F;S;0;41000;N;134.45;16.06;4;26.01;0;108.44;0;CC;Budget;Standard
10310;F;S;0;32098;N;106.53;22.433333;2;22.96;8.28;75.27;0;CH;Budget;Intnl_discount
10312;F;M;2;80087.7;N;31.56;41.92;4;8.74;0;22.82;0;CC;FreeLocal;Standard
10313;F;M;2;59691.3;N;278.65;38.04;2;21.94;0;256.7;0;CC;Budget;Standard
10315;F;S;2;11251.1;Y;141.91;61;2;28.42;0;113.48;0;CC;FreeLocal;Standard
10318;M;S;0;94928.3;N;93.78;40.18;4;14.42;5.61;73.74;0;CH;FreeLocal;Standard
10322;M;M;0;78000;Y;39.32;52.266667;3;16.2;4.27;18.84;0;CC;FreeLocal;Intnl_discount
10326;M;M;0;100020;Y;92.37;52.266667;4;29.55;0;62.81;0;CH;Budget;Standard
10329;F;M;1;56722.8;N;74.77;60.593333;2;17.37;6.21;51.17;0;CC;FreeLocal;Standard
10331;M;M;1;80000;N;3.22;53.213333;3;0;0;3.22;0;CC;Budget;Intnl_discount
10332;F;S;2;3416.62;Y;123.7;22.76;4;18.97;0;104.73;0;CC;Budget;Standard
10333;F;M;0;73400;Y;10.39;55.633333;2;0.17;0;10.22;0;Auto;Budget;Standard
10334;M;M;0;120000;Y;40.9;53.213333;4;15.27;0;25.62;0;CC;FreeLocal;Standard
10335;F;M;2;8032.16;N;88.77;45.666667;2;29.68;0;59.08;0;CC;FreeLocal;Standard
10336;F;S;1;93454.3;Y;44.13;48.533333;4;18.94;0;25.18;0;Auto;FreeLocal;Standard
10337;M;M;0;5745;Y;44.11;15.38;1;26.4;0;17.71;0;CC;FreeLocal;Standard
10338;F;S;0;83287;N;215.96;77;4;0.41;7.35;208.19;0;Auto;Budget;Standard
10339;F;S;0;92564.1;Y;74.86;49.133333;3;23.17;0;51.68;0;Auto;FreeLocal;Standard
10343;F;M;2;48322.5;Y;50.29;49.333333;1;6.69;0;43.6;0;CC;FreeLocal;Standard
10349;F;S;0;919.93;N;120.71;38.26;3;27.28;0;93.42;0;CH;Budget;Standard
10351;F;M;2;24482.8;N;2;33.533333;4;0;0;2;0;CH;Budget;Intnl_discount
10353;F;M;0;14573.6;N;263.58;64.606667;4;26.61;0;236.97;0;CC;Budget;Standard
10355;F;S;2;8392.14;Y;87.16;36.68;3;25.03;7.33;54.8;0;CH;Budget;Intnl_discount
10356;F;S;0;17138.2;N;104.69;63.786667;3;20.01;0;84.67;0;CC;FreeLocal;Intnl_discount
10358;F;M;2;47010.1;N;167.31;57.406667;1;2.54;0;164.76;0;CC;Budget;Intnl_discount
10360;F;S;1;67239.4;N;66.7;44.433333;2;12.89;0;53.81;0;Auto;FreeLocal;Intnl_discount
10370;F;M;2;2185.6;N;28.07;52.513333;1;7.12;0;20.95;1;CH;Budget;Standard
10372;M;M;1;76511.3;N;42.52;62.08;2;21.68;3.46;17.37;0;CC;FreeLocal;Standard
10377;F;M;2;36660.9;Y;3.36;39.96;1;0;0;3.36;1;CH;Budget;Intnl_discount
10382;F;M;2;72841.3;N;82.53;47.02;1;10.36;0;72.16;0;CC;Budget;Standard
10389;F;M;2;57483.9;N;44.3;44.026667;2;17.01;0;27.29;0;CH;Budget;Standard
10391;F;S;2;21274;N;43.31;45.526667;2;10.87;0;32.43;0;Auto;FreeLocal;Standard
10394;F;M;2;36725.1;N;94.88;55.793333;2;8.65;9.22;77;0;CH;Budget;Standard
10398;M;S;1;94188.3;N;41.51;57.546667;2;20.86;0.86;19.78;0;CC;Budget;Standard
10404;F;S;1;12374.9;Y;123.59;33.493333;3;17.49;0;106.1;0;Auto;FreeLocal;Standard
10405;F;M;2;69133.9;Y;46.32;26.833333;2;8.58;0;37.73;0;CH;FreeLocal;Standard
10407;F;M;2;84948;Y;23.73;29.446667;3;11.14;0;12.58;0;CH;FreeLocal;Intnl_discount
10408;F;M;2;30998.8;N;52.91;40.96;2;2.4;0;50.5;0;Auto;Budget;Standard
10414;M;M;2;21416.5;N;27.61;35.653333;1;9.9;9.17;8.53;0;CC;FreeLocal;Intnl_discount
10419;M;S;1;3960.5;N;96.13;14.693333;2;29.78;0;66.35;0;Auto;FreeLocal;Standard
10421;M;M;0;60101.1;Y;157.96;63.766667;4;27.7;6.11;124.14;2;CH;FreeLocal;Standard
10422;F;M;2;38215.9;N;0.97;30.886667;2;0;0;0.97;0;Auto;Budget;Standard
10423;F;M;1;13829.4;N;176.61;22;1;28;0;160.42;0;CC;FreeLocal;Standard
10424;F;M;2;49745.3;N;27.28;47.966667;3;2.84;0;24.44;0;CH;Budget;Intnl_discount
10429;F;S;0;74530.8;N;127.89;63.086667;2;20.89;0.49;106.5;0;Auto;FreeLocal;Intnl_discount
10431;F;S;0;35000;N;265.78;23;3;30;0;262.91;0;CC;Budget;Standard
10436;F;M;2;76289.2;N;104.63;48.206667;2;22.2;0;82.43;0;CC;Budget;Intnl_discount
10438;M;M;1;66931.9;N;17.46;63.933333;4;11.72;0.39;5.35;0;CC;Budget;Standard
10439;F;D;1;9309.57;Y;108.3;24;2;40;0;99.73;0;CC;FreeLocal;Standard
10441;F;S;0;32962.6;N;168.28;19;2;27;0;154.77;0;CC;Budget;Intnl_discount
10442;F;S;0;40000;N;65.79;20;2;26;0;61.44;0;CC;Budget;Standard
10443;F;S;2;33330;N;41.78;21;3;33;0;35.73;0;Auto;Budget;Standard
10444;F;S;1;32098;N;23.52;22;1;33;0;9.51;0;Auto;Budget;Intnl_discount
10446;F;S;1;40120;N;134.75;24;4;28.45;0;106.3;0;CC;Budget;Standard
10450;F;M;2;90271.6;N;110.4;44.926667;4;13.96;0;96.43;0;CC;FreeLocal;Standard
10455;F;M;2;64816.6;Y;27.87;31.126667;2;21;0;6.87;0;CC;Budget;Standard
10456;F;M;2;98217.1;N;42.74;44.98;1;29.49;0;13.24;0;CC;FreeLocal;Standard
10458;F;S;1;2929.13;N;102.23;53.506667;1;14;0;88.23;0;CH;Budget;Intnl_discount
10460;F;M;2;41876.6;Y;139.44;44.093333;3;6.78;0;132.65;0;CC;FreeLocal;Standard
10462;F;S;0;15989.3;N;29.17;61.693333;4;3.67;0;25.49;1;CC;Budget;Intnl_discount
10463;M;M;0;69168.4;Y;234.91;62.426667;2;14.16;6.01;214.73;0;CC;Budget;Standard
10464;M;M;1;92148.5;Y;113.68;33;2;3;0;100.9;0;CC;Budget;Intnl_discount
10465;M;M;0;96681;Y;73.76;19.76;2;7;7.66;40.92;0;CC;Budget;Standard
10466;M;S;0;62705.9;Y;33.44;32;2;8;0;6.81;0;CC;FreeLocal;Intnl_discount
10468;M;S;0;84479.2;N;56.23;30;2;7;0;43.01;0;CC;FreeLocal;Standard
10469;F;M;2;64977.4;N;45.77;38.193333;2;28.11;0;17.66;0;CC;FreeLocal;Standard
10470;F;M;0;77994;N;102.02;50.553333;1;12.4;0;89.62;0;CH;FreeLocal;Standard
10471;M;M;2;90103.7;N;66.45;34.946667;3;12.23;8.87;45.34;0;CC;Budget;Intnl_discount
10473;M;M;2;5265.35;N;31.1;52.873333;3;2.33;5.3;23.46;0;Auto;Budget;Intnl_discount
10475;F;M;2;36647.9;N;107.38;49.986667;3;21.41;0;85.96;0;CC;Budget;Intnl_discount
10476;F;S;0;64319.2;N;40.16;41.226667;1;3.01;0;37.15;0;CH;Budget;Intnl_discount
10477;F;S;1;73338;N;29.93;48.246667;3;20.92;0;9.01;0;Auto;Budget;Intnl_discount
10479;F;M;2;16962.2;N;27.57;45.36;2;18.6;0;8.96;0;CC;Budget;Standard
10481;M;M;2;10708.3;N;142.95;26.026667;3;20.83;4.85;117.26;0;CH;Budget;Intnl_discount
10484;F;M;0;2031.61;N;109.04;20.3;2;21.64;0;87.4;0;CC;Budget;Standard
10488;F;S;2;16938.5;N;22.11;55;2;13.35;0;8.76;0;CH;FreeLocal;Standard
10492;F;M;1;8073.11;N;89.05;43;2;28.7;0;60.35;0;Auto;FreeLocal;Standard
10494;M;S;1;24141.5;Y;125.87;17.006667;4;28.82;0;97.05;0;CC;FreeLocal;Standard
10495;M;S;2;63152.6;Y;70.01;63.173333;1;29.93;0;40.07;0;CC;Budget;Intnl_discount
10500;F;M;0;27371.8;Y;142.7;48;4;16.14;0;126.55;0;CC;FreeLocal;Standard
10504;M;M;1;71472.9;N;130.22;41.913333;3;16.02;0;114.2;0;CH;Budget;Standard
10505;F;M;0;95405.7;N;13.96;42;4;7.74;0;6.21;0;CC;Budget;Standard
10506;F;S;0;95786.8;Y;108.79;43;4;21.33;0;87.46;0;CC;Budget;Standard
10508;M;S;0;90321.6;N;12.39;30;2;0.87;0;11.52;0;Auto;FreeLocal;Intnl_discount
10510;F;M;2;56187;N;21.83;42;2;8.09;0;13.74;0;CH;Budget;Standard
10513;F;S;1;37000;N;229.64;24.393333;2;23.56;0;206.08;0;CC;Budget;Intnl_discount
10518;M;M;2;29616;N;75.29;49.426667;1;29.78;0;45.5;0;CH;FreeLocal;Standard
10520;M;M;0;19732.8;N;47.25;50.673333;2;24.81;0;22.44;0;CC;FreeLocal;Standard
10526;F;M;2;52004.8;N;28.14;25.14;1;5.03;0;23.11;0;CH;Budget;Intnl_discount
10529;M;M;2;53010.8;N;58.87;18.84;1;12.45;0;46.42;4;CC;FreeLocal;Standard
10530;M;M;0;75004.5;N;58.72;64.8;2;26.52;0;32.19;0;CC;Budget;Intnl_discount
10533;M;M;0;19749.3;N;34.17;60.366667;1;20.22;0;13.94;0;CC;Budget;Standard
10534;M;S;1;57626.9;Y;48.35;43.906667;3;9.38;0;38.96;0;CC;Budget;Standard
10535;M;M;2;20078;N;15.98;32.846667;4;9.65;0;6.33;0;CC;Budget;Intnl_discount
10536;F;M;2;47902;N;72.31;26.033333;4;17.44;4.94;49.92;1;Auto;FreeLocal;Standard
10541;M;M;1;7545.96;Y;200.75;16.753333;3;22.39;0;178.36;0;CC;Budget;Standard
10547;F;S;0;78851.3;N;29.04;48.373333;4;0.37;0;28.66;0;CC;FreeLocal;Standard
10548;F;S;1;17540.7;Y;36.2;62.786667;1;22.17;0.57;13.45;0;Auto;Budget;Standard
10549;F;M;0;83891.9;Y;74.4;61.02;4;28.92;0;45.47;0;CH;Budget;Standard
10550;F;M;2;28220.8;N;38.95;38.766667;4;26.49;0;12.46;0;CC;FreeLocal;Standard
10552;F;S;0;28589.1;N;100.28;15.6;4;13.19;0;87.09;0;CC;FreeLocal;Standard
10554;F;M;2;5237.63;N;78.02;48.753333;1;13.32;8.05;56.64;0;CC;Budget;Standard
10557;M;S;2;89459.9;N;36.05;53.28;3;11.54;1.61;22.9;0;CC;FreeLocal;Standard
10560;F;S;1;13576.5;N;40.49;39.426667;4;14.83;0;25.66;0;CC;Budget;Standard
10561;F;S;0;81710.9;N;36.42;58.54;4;20.95;0;15.46;1;CC;FreeLocal;Standard
10564;F;M;2;67388;N;96.33;53.12;3;4.79;0.5;91.04;1;CC;Budget;Standard
10565;F;M;1;57063;Y;98.1;52.333333;4;16.79;0;81.3;0;CH;Budget;Standard
10566;F;M;2;84166.1;N;15.02;54.013333;1;3.28;0;11.74;1;CC;Budget;Standard
10573;M;S;2;100020;N;314.62;48;4;21.37;0;293.24;0;CH;Budget;Standard
10574;F;M;2;45287.6;Y;2.97;29.026667;3;0;0;2.97;0;CC;Budget;Standard
10577;F;S;1;16326.7;N;1.34;50.613333;2;0;0;1.34;0;CC;FreeLocal;Intnl_discount
10580;F;S;2;9559.78;N;77.91;51.38;3;18.31;0;59.59;0;CC;FreeLocal;Standard
10587;F;D;1;68427.4;N;73.81;42.393333;4;23.76;0;50.05;0;Auto;FreeLocal;Standard
10589;M;S;0;3601.71;N;125.6;49.266667;1;9.57;4.19;111.84;0;Auto;Budget;Intnl_discount
10591;F;S;0;98716.3;N;43.13;55.66;4;20.97;8.23;13.92;0;CC;FreeLocal;Standard
10592;F;S;2;66182.7;Y;58.87;62.48;2;11.7;0;47.17;0;Auto;Budget;Standard
10593;F;S;2;84789.3;N;33.47;50.433333;4;14.22;8.8;10.45;0;CH;FreeLocal;Standard
10595;F;M;2;35976.5;Y;50.63;48.853333;4;18.85;0;31.78;0;Auto;FreeLocal;Intnl_discount
10598;F;M;2;8204.72;N;39.79;52.973333;4;15.59;0;24.19;0;CH;FreeLocal;Standard
10601;F;S;2;38280;N;86.61;33.74;4;11.64;0;74.97;0;Auto;FreeLocal;Intnl_discount
10602;M;S;0;64136.6;Y;142.37;61.106667;2;16.21;1;125.15;0;CC;FreeLocal;Intnl_discount
10606;F;S;0;25285.5;N;21.3;53.986667;4;9.37;0;11.93;0;CC;FreeLocal;Standard
10607;F;M;2;77551.1;Y;62.42;33.6;3;20.53;0;41.89;1;CC;Budget;Intnl_discount
10608;F;M;0;38538.4;N;47.66;12.326667;3;22.86;8.32;16.48;0;CC;FreeLocal;Standard
10609;F;S;0;69350.5;Y;27.86;57.42;4;1.9;0;25.95;0;CC;FreeLocal;Standard
10616;M;S;2;43634.5;N;143.5;21.78;4;29.44;9.42;104.64;0;CC;Budget;Standard
10620;F;S;1;13109.1;N;62.87;62.606667;4;22.38;0;40.48;0;Auto;Budget;Standard
10622;M;S;2;21021.6;Y;14.95;62.753333;2;3.75;0;11.19;0;CC;Budget;Standard
10626;F;S;2;28787.4;N;86.06;41.666667;3;27.97;0;58.09;0;Auto;Budget;Standard
10632;F;M;2;62061.8;Y;82.08;45.92;4;29.86;0;52.22;0;Auto;FreeLocal;Standard
10633;F;M;1;20550.9;Y;85.64;22.12;4;27.72;0.86;57.06;0;CC;Budget;Standard
10636;M;M;2;1765.41;N;47.99;18.766667;1;3.04;0;44.95;0;CC;FreeLocal;Standard
10639;F;S;2;19131.1;N;57.07;56.186667;1;22.15;0;34.91;0;Auto;Budget;Standard
10645;M;M;2;42750.3;Y;134.97;50.493333;2;20.59;1.97;112.4;0;Auto;Budget;Intnl_discount
10647;F;S;2;2842.55;N;0.79;45.92;4;0;0;0.79;0;Auto;Budget;Intnl_discount
10648;M;M;2;22358.1;N;29.25;52.626667;3;15.54;1.52;12.19;0;CC;Budget;Standard
10651;F;S;2;6440.46;Y;49.86;41;2;22.66;0;27.2;0;CH;Budget;Standard
10652;F;S;0;7325.5;N;190.06;36.92;2;28.52;0;161.54;0;CC;FreeLocal;Intnl_discount
10660;M;M;2;91272.2;Y;40;25.033333;3;26.99;0;13.01;0;CC;FreeLocal;Standard
10666;M;S;0;69000;Y;137;52.266667;4;11.63;9.7;115.66;1;CC;FreeLocal;Intnl_discount
10670;M;M;2;1406.05;Y;26.72;19.306667;3;11.55;0;15.17;0;CC;Budget;Standard
10672;F;S;0;73228.3;N;50.58;43;2;22.47;0;28.11;0;Auto;Budget;Standard
10673;F;S;2;76231.9;N;152.76;63.806667;4;2.01;0;150.75;0;Auto;FreeLocal;Standard
10686;M;M;1;63437.3;N;14.98;63.653333;3;0.68;3.35;10.94;0;CC;Budget;Intnl_discount
10690;M;M;2;49910.7;Y;51.14;51.52;1;27.42;0;23.72;0;CC;Budget;Standard
10692;M;M;0;76161.4;Y;37.55;44.573333;3;11.96;0;25.58;0;CC;FreeLocal;Standard
10693;F;M;2;55860;Y;26.37;14.573333;4;16.01;0;10.35;0;CC;FreeLocal;Intnl_discount
10694;F;S;1;12686;N;103.88;64.8;1;23.23;0;80.64;0;Auto;Budget;Standard
10702;M;M;2;57360.8;Y;67.61;53.253333;2;10.36;0;57.25;0;CC;FreeLocal;Standard
10704;M;M;1;60102.7;N;72.29;42.14;4;9.84;0;62.44;1;CH;FreeLocal;Standard
